,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
123,0.06432859102884929,0.0035236455293413656,0.005776564280192058,0.006998583619350878,balanced,gini,6,,0.01,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'best'}",0.42787524366471735,0.4330117899249732,0.4180672268907563,0.42631808682681566,0.006199652900729656,164
85,0.06572930018107097,0.009524702816855012,0.015909751256306965,0.00040405247719358116,balanced,entropy,6,,0.005,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'best'}",0.4267578125,0.4334763948497854,0.4182590233545648,0.4261644102347834,0.0062266199226740145,165
87,0.06063985824584961,0.010422189059514489,0.010573307673136393,0.007478918516922366,balanced,entropy,6,,0.01,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'best'}",0.4269005847953216,0.4330117899249732,0.41798941798941797,0.4259672642365709,0.0061682644826336315,166
89,0.060924132664998375,0.015287102231818624,0.010422706604003906,0.007369972945378073,balanced,entropy,6,,0.05,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'best'}",0.425,0.4293304994686504,0.41435897435897434,0.42289649127587486,0.006290479724248263,167
125,0.060118913650512695,0.003690105106970217,0.0,0.0,balanced,gini,6,,0.05,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'best'}",0.425,0.4293304994686504,0.41435897435897434,0.42289649127587486,0.006290479724248263,167
118,0.03139368693033854,0.0002038917376597728,0.0053471724192301435,0.007562043755622621,balanced,gini,3,sqrt,0.05,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.41875,0.41450777202072536,0.3987096774193548,0.41065581648002675,0.008622907607055315,169
80,0.0198208491007487,0.008738386120756926,0.01646900177001953,0.0028063151463303035,balanced,entropy,3,sqrt,0.01,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'random'}",0.41875,0.41450777202072536,0.3987096774193548,0.41065581648002675,0.008622907607055315,169
78,0.02564406394958496,0.007174021576780923,0.011260986328125,0.008028435745951117,balanced,entropy,3,sqrt,0.005,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.41875,0.41450777202072536,0.3987096774193548,0.41065581648002675,0.008622907607055315,169
82,0.02618090311686198,0.007457859926997241,0.005208571751912435,0.007366032812147957,balanced,entropy,3,sqrt,0.05,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.41875,0.41450777202072536,0.3987096774193548,0.41065581648002675,0.008622907607055315,169
114,0.02313852310180664,0.006581060091073832,0.00838017463684082,0.00642950216268025,balanced,gini,3,sqrt,0.005,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.41875,0.41450777202072536,0.3987096774193548,0.41065581648002675,0.008622907607055315,169
116,0.024012247721354168,0.0064292070462689515,0.007381995519002278,0.006410127020625457,balanced,gini,3,sqrt,0.01,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'random'}",0.41875,0.41450777202072536,0.3987096774193548,0.41065581648002675,0.008622907607055315,169
90,0.026051044464111328,0.007370642741635082,0.011256059010823568,0.008025653243643368,balanced,entropy,6,sqrt,0.005,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.30493576741041245,0.28655352480417756,0.2825503355704698,0.29134654259501996,0.009747021915186128,175
126,0.020967404047648113,0.0072712501601276645,0.010421117146809896,0.0073688454022383795,balanced,gini,6,sqrt,0.005,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.30493576741041245,0.2855288773523686,0.2834008097165992,0.2912884848264601,0.009689114490337065,176
128,0.031396945317586265,0.00020326022472340203,0.010413646697998047,0.007363560701379657,balanced,gini,6,sqrt,0.01,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'random'}",0.2988808426596445,0.2868421052631579,0.28112449799196787,0.2889491486382567,0.0074005255591632554,177
92,0.02618543306986491,0.007466578630052351,0.010424375534057617,0.007371150640446784,balanced,entropy,6,sqrt,0.01,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'random'}",0.2988808426596445,0.2878888153540701,0.27360308285163776,0.2867909136217841,0.010348762450590814,178
94,0.026318152745564777,0.007560695056470274,0.015638351440429688,6.0691461855687405e-06,balanced,entropy,6,sqrt,0.05,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.2889589905362776,0.2756923076923077,0.2707672796448954,0.2784728592911602,0.007682585792310628,179
